流水號,國字,審定音,詞例,限讀說明,通假說明,備注
0284,呀,1.｜ㄚ\n2.‧｜ㄚ\n3.ㄒ｜ㄚ,1.呀的一\n聲、啊呀\n2.「他呀，恐\n怕不行！」\n3.呀然、「汝\n口開呀呀。」\n（唐‧韓\n愈‧月蝕詩）,,,
0285,呆,ㄉㄞ,,,,
*0286,吶,ㄋㄚˋ,,,,
0287,吽,1.ㄏㄨㄥ\n2.ㄏㄡˇ,1.阿吽、唵嘛\n呢叭咪吽\n（六字真\n言）\n2.「那老兒，\n一會家便怒\n吽吽在那柴\n門外。」\n（元‧康進\n之‧李逵負\n荊）,,,
*0288,呈,ㄔㄥˊ,,,,
0289,吹,ㄔㄨㄟ,,,,
0290,听,1.ㄊ｜ㄥ\n2.ㄊ｜ㄥˋ\n3.｜ㄣˇ,1.「聽」的異\n體字\n2.「聽」的異\n體字\n3.「亡是公听\n然而笑。」\n（文選‧司\n馬相如‧上\n林賦）,,,
*0291,吟,｜ㄣˊ,,,,
0292,告,1.ㄍㄠˋ\n2.ㄍㄨˋ\n(限讀),1.公告、原\n告、報告、\n告退、控\n告、告老還\n鄉、忠告,2.限於「告\n朔」一詞音\nㄍㄨˋ。,,
0293,含,ㄏㄢˊ,,,,
0294,咇,1.ㄅ｜ㄝˊ\n2.ㄅ｜,1.咇茀\n2.咇咇剝剝\n（狀聲詞）,,,
*0295,味,ㄨㄟˋ,,,,
0296,呢,1.ㄋ｜ˊ\n2.‧ㄋㄜ,1.呢絨、呢喃\n2.「怎麼辦\n呢？」、「他\n正忙著\n呢！」,,,
0297,呵,1.ㄏㄜ\n2.ㄛ,1.呵欠、呵\n護、呵呵笑\n2.「這麼多錢\n呵！」,,,
0298,咕,ㄍㄨ,,,,
0299,咁,ㄍㄢ,,,,
0300,咖,ㄎㄚ,,,,此字現僅常\n用於「咖啡」\n一詞，為西文\ncoffee之譯\n音，故取ㄎ\nㄚ，去ㄐ｜\nㄚ。
0301,呺,ㄒ｜ㄠ,,,,
0302,呫,1.ㄓㄢ\n2.ㄔㄜˋ,1.呫呫、呫\n嚅、呫囁、\n呫嗶\n2.呫血之盟,,,
0303,咄,ㄉㄨㄛˋ,,,,
*0304,呼,ㄏㄨ,,,,
0305,咋,ㄗㄜˊ,,,,
0306,呴,1.ㄒㄩˇ\n2.ㄏㄡ\n(限讀),1.呴濡、呴\n呴、「眾呴\n漂山。」（漢\n書‧中山靖\n王傳）,2.限於「唏\n呴」一詞音\nㄏㄡ。,,
0307,呱,1.ㄍㄨ\n2.ㄍㄨㄚ,1.呱呱而\n泣、呱呱墮\n地\n2.頂呱呱、呱\n呱叫,,,
0308,和,1.ㄏㄜˊ\n2.ㄏㄜˋ\n3.ㄏㄨㄛˋ\n4.ㄏㄢˋ\n5.‧ㄏㄨㄛ\n6.ㄏㄨˊ\n(限讀),1.總和、大和\n民族、和\n尚、和平、\n和風、和談\n2.唱和、附和\n3.和麵、攪和\n4.我和你\n5.暖和、熱和,6.限於「和\n牌」一詞音\nㄏㄨˊ。,,
0309,咎,1.ㄐ｜ㄡˋ\n2.ㄍㄠ,1.咎由自\n取、引咎辭\n職、「既往\n不咎。」（論\n語‧八佾）\n2.咎陶（古人\n名。虞舜之\n臣）、「狄\n人伐廧咎\n如。」（左\n傳‧僖公二\n十三年）,,,
*0310,命,ㄇ｜ㄥˋ,,,,
*0311,咸,ㄒ｜ㄢˊ,,,,
0312,咳,1.ㄎㄜˊ\n2.ㄏㄞ,1.咳嗽、咳血\n2.咳聲嘆氣,,,
0313,哏,ㄍㄣˊ,,,,
0314,哇,ㄨㄚ,,,,
0315,哄,1.ㄏㄨㄥ\n2.ㄏㄨㄥˇ,1.哄傳、哄\n動、哄堂大\n笑\n2.連哄帶\n騙、哄小孩,,,
0316,咥,1.ㄒ｜ˋ\n2.ㄉ｜ㄝˊ,1.「咥其笑\n矣。」（詩\n經‧衛風‧\n氓）\n2.「履虎尾，\n不咥人，\n亨。」（易\n經‧履卦）,,,
0317,咧,ㄌ｜ㄝˇ,,,,
0318,咽,1.｜ㄢ\n2.｜ㄝˋ,1.咽喉\n2.哽咽,,通「嚥」時，\n音｜ㄢˋ。,
*0319,咼,ㄎㄨㄞ,,,,
0320,咷,ㄊㄠˊ,,,,
0321,哆,1.ㄉㄨㄛ\n2.ㄔㄜˇ,1.哆嗦、哆囉\n呢\n2.哆著嘴、\n「逆風口哆\n哆。」（宋‧\n梅堯臣‧直\n會開寶塔院\n詩）,,,
0322,咶,ㄏㄨㄚˋ,,,,
*0323,哅,ㄒㄩㄥ,,,,
0324,咯,1.‧ㄌㄛ\n2.ㄍㄜ\n3.ㄎㄚˇ,1.「來\n咯！」、「當\n然咯！」\n2.「母雞咯咯\n叫。」\n3.咯血,,通「嗝」時，\n音ㄍㄜˊ。,
0325,咬,1.│ㄠˇ\n2.ㄐ│ㄠ\n(限讀),1.一口咬\n定、咬文嚼\n字、咬牙切\n齒,2.限於「咬咬\n好音」一詞音\nㄐ│ㄠ。,,
0326,咱,1.ㄗㄢˊ\n2.ㄗㄚˊ,1.咱們\n2.咱家,,,
0327,咻,1.ㄒ│ㄡ\n2.ㄒㄩ,1.咻咻、「一\n齊人傅之，\n眾楚人咻\n之。」（孟\n子‧滕文公\n下）\n2.「咻，噢\n咻，痛念\n聲。」（集\n韻）、「山\n川之所習，\n風氣之所\n咻。」（蘇\n軾文）,,,
0328,哈,1.ㄏㄚ\n2.ㄏㄚˇ\n3.ㄎㄚ\n(限讀),1.哈密瓜、哈\n哈大笑、哈\n腰、哈姆雷\n特、哈雷彗\n星\n2.哈巴狗、哈\n德門（北平\n崇德門的俗\n稱）,3.限於「哈喇\n呢」一詞音\nㄎㄚ。,,
0329,唇,1.ㄓㄣ\n2.ㄔㄨㄣˊ,1.「唇，驚\n也。」（說\n文）\n2.「脣」的異\n體字。,,,
0330,哿,ㄎㄜˇ,,,,
0331,哼,ㄏㄥ,,,,
0332,哢,ㄌㄨㄥˋ,,,,
0333,哺,ㄅㄨˇ,,,,
0334,唔,ㄨˊ,,,,
0335,哮,ㄒ｜ㄠ,,,,
0336,哪,1.ㄋㄚˇ\n2.‧ㄋㄚ\n3.ㄋㄨㄛˊ\n(限讀),1.哪知、哪個\n2.「你又走\n哪？」（兒\n女英雄傳‧\n第七回）,3.限於「哪\n吒」一詞音\nㄋㄨㄛˊ。,,
*0337,哨,ㄕㄠˋ,,,,
0338,哩,1.ㄌ｜\n2.ㄌ｜ˇ,1.哩哩囉\n囉、哩嚕、\n哩也波\n2.一哩（英美\n長度單位。\n為mile的音\n譯),,,
0339,員,1.ㄩㄢˊ\n2.ㄩㄣˊ,1.員工、幅\n員、員外、\n兩員大將\n2.伍員（人\n名。春秋時\n楚人，字子\n胥）、「員\n于爾輻。」\n（詩經‧小\n雅‧正月）,,,
0340,唈,｜ˋ,,,,
0342,唅,1.ㄏㄢ\n2.ㄏㄢˊ,1.唅呀、唅唅\n2.「唅菽飲\n水。」（漢\n書‧貨殖傳\n序）,,,
0343,唧,ㄐ｜ˊ,,,,
0344,唼,1.ㄕㄚˋ\n2.ㄑ｜ㄝˋ,1.唼眼、唼\n血、唼氣、\n唼喋\n2.唼佞,,,
*0345,啍,ㄊㄨㄣ,,,,
0346,啐,ㄘㄨㄟˋ,,,,
0347,啑,ㄐ｜ㄝˊ,啑血,,通「歃」時，\n音ㄕㄚˋ,
0348,唪,ㄈㄥˇ,,,,
0349,啞,1.｜ㄚˇ\n2.｜ㄚ,2.啞啞、嘔啞,,,
0350,唶,1.ㄐ｜ㄝˋ\n2.ㄗㄜˋ,1.「唶曰：『氣\n佳哉！鬱鬱\n蔥蔥然。』」\n（後漢書‧\n光武帝紀\n下）\n2.嚄唶,,,
0351,啊,1.ㄚ\n2.‧ㄚ,1.「啊！失火\n了！」\n2.「不錯\n啊！」,,,
0352,啦,1.ㄌㄚ\n2.‧ㄌㄚ,1.啪啦、啦啦\n2.「他來\n啦！」、「好\n啦！」,,,
*0353,啄,ㄓㄨㄛˊ,,,,
*0354,唬,ㄏㄨˇ,,,,
0355,啃,ㄎㄣˇ,,,,
0356,啁,ㄓㄡ,,,,
0357,唯,ㄨㄟˊ,,,,
*0358,唲,ㄦˊ,,,,
0359,唸,ㄋ｜ㄢˋ,,,,
0360,啻,ㄔˋ,,,,
*0361,喜,ㄒ｜ˇ,,,,
0362,喪,1.ㄙㄤ\n2.ㄙㄤˋ,1.居喪、喪\n亡、喪服\n2.喪失、沮\n喪、喪心病\n狂,,,凡 是 喪 亡 義\n音ㄙㄤ，失去\n義音ㄙㄤˋ。
*0363,喧,ㄒㄩㄢ,,,,
0364,喀,ㄎㄚ,,,,
0365,喑,｜ㄣ,,,,
*0366,喫,ㄔ,,,,
0367,喔,1.ㄨㄛˋ\n2.ㄛ,1.喔咿嚅\n唲、「公雞\n喔喔啼。」\n2.喔唷、\n「喔！原來\n如此。」,,,
0368,喇,ㄌㄚˇ,,,,
*0369,喋,ㄉ｜ㄝˊ,,,,
0370,喳,ㄓㄚ,,,,
0371,喁,1.ㄩˊ\n2.ㄩㄥˊ,1.喁喁私語\n2.喁喁向慕,,,
0373,單,1.ㄉㄢ\n2.ㄕㄢˋ\n3.ㄔㄢˊ\n(限讀),1.菜單、簡單\n2.單縣（山東\n省縣名）、\n姓（如漢代\n有單超）,3.限於單于\n（匈奴稱其\n酋長）一詞\n音ㄔㄢˊ。,,
0374,喟,ㄎㄨㄟˋ,,,,
0375,喏,1.ㄖㄜˇ\n2.ㄋㄨㄛˋ,1.唱喏\n2.喏喏連\n聲、「喏！\n那不是你要\n找的人\n嗎？」,,,
*0376,喤,ㄏㄨㄤˊ,,,,
0377,喒,1.ㄗㄢˊ\n2.ㄗㄚˊ,1.喒們\n2.喒家,,,
0378,喲,｜ㄠ,,,,
*0379,喻,ㄩˋ,,,,
0380,喬,ㄑ｜ㄠˊ,,,,
0381,唾,ㄊㄨㄛˋ,,,,
*0382,嗃,ㄏㄜˋ,,,,
0383,嗛,ㄑ｜ㄢˇ,頰嗛,,通「謙」時，\n音ㄑ｜ㄢ。通\n「歉」時，音\nㄑ｜ㄢˋ。,
0384,嗟,ㄐ｜ㄝ,,,,
0385,嗌,｜ˋ,,,,
0386,嗎,1.ㄇㄚˇ\n2.‧ㄇㄚ\n(限讀),1.嗎啡、嗎呼,2.限於當語\n尾助詞時，\n音‧ㄇㄚ。,,
*0388,嗔,ㄔㄣ,,,,
0389,嗄,ㄕㄚˋ,,,,
0390,嗆,ㄑ｜ㄤˋ,,,,
0391,嘛,1.ㄇㄚˊ\n2.‧ㄇㄚ,2.疑問詞，同\n「嗎」、喇\n嘛,,,
*0392,嘉,ㄐ｜ㄚ,,,,
0393,嘏,ㄍㄨˇ,,,,
0394,嗾,ㄙㄡˇ,,,,
*0395,嗽,ㄙㄡˋ,,,,
0396,嘔,1.ㄡˇ\n2.ㄡ\n3.ㄡˋ,1.嘔吐、嘔心\n瀝血\n2.嘔歌、嘔啞\n3.嘔氣、存心\n嘔我,,,
0397,嘎,ㄍㄚ,,,,
0398,嘁,ㄑ｜,,,,
0399,嘍,ㄌㄡˊ,,,,
0400,,ㄏㄨ,,,,
0401,噌,ㄘㄥ,,,,
*0402,嘯,ㄒ｜ㄠˋ,,,,
0403,噀,ㄒㄩㄣˋ,,,,
0404,噎,｜ㄝ,,,,
*0405,噁,ㄜˇ,,,,
0406,嘲,ㄔㄠˊ,,,,
0407,嘿,ㄏㄟ,嘿 嘿 的 笑 、\n「 嘿 ！ 你 好\n嗎？」,,通「默」時，\n音ㄇㄛˋ。,
0408,嘬,ㄗㄨㄛ,,,,
0409,嘽,1.ㄊㄢ\n2.ㄔㄢˇ,1.嘽嘽\n2.「其樂心感\n者，其聲嘽\n以緩。」（禮\n記‧樂記）,,,
0410,嘳,ㄎㄨㄟˋ,,,,
0411,噓,ㄒㄩ,,,,
0412,嘩,ㄏㄨㄚ,嘩啦,,通「譁」時，\n音ㄏㄨㄚˊ。,
0413,嘸,ㄈㄨˇ,,,,
0414,,1.ㄐ｜ㄠˋ\n2.ㄐ｜ㄠ,1.食、類\n2.「其聲以\n殺。」（禮\n記‧樂記）,,,
0415,噴,1.ㄆㄣ\n2.ㄆㄣˋ\n(限讀)\n3.‧ㄈㄣ\n(限讀),1.噴水、噴\n泉、香噴\n噴、噴嚏,2.限於「噴\n香」一詞音\nㄆㄣˋ。\n3.限於「嚏\n噴」一詞\n音‧ㄈㄣ。,,
0416,噫,｜ˋ,,,,此 為 狀 聲\n詞，故從其偏\n旁取｜ˋ，以\n便於識讀。
0417,噹,1.ㄉㄤ\n2.ㄉ｜ㄤ\n(限讀),1.叮噹,2.限於「噹噹\n兒」一詞音\nㄉ｜ㄤ。,,
*0418,噥,ㄋㄨㄥˊ,,,,
0419,噱,1.ㄐㄩㄝˊ\n2.ㄒㄩㄝ,1.令人發噱\n2.噱頭,,,
0420,噦,1.ㄩㄝ\n2.ㄏㄨㄟˋ,1.乾噦、噦了\n一地\n2.「鸞聲噦\n噦。」（詩\n經‧小雅‧\n庭燎）、「噦\n噦其冥。」\n（詩經‧小\n雅‧斯干）,,,
0421,噶,ㄍㄜˊ,,,,
0422,噣,ㄓㄡˋ,詩經‧周南‧\n小星「嘒彼小\n星 ， 三 五 在\n東 」 句 下 毛\n亨‧傳：「三\n心五噣。」、\n「 龍 面 而 鳥\n噣 。 」 （ 史\n記‧趙世家）,,通  啄 \n時，音\nㄓㄨㄛˊ。,
0423,噯,ㄞˋ,,,,
0424,噭,1.ㄐ｜ㄠˋ\n2.ㄑ｜ㄠˋ,1.噭應\n2.「馬蹄噭\n千。」（漢\n書‧貨殖傳）,,,
*0425,噢,ㄩˇ,,,,
0426,噞,｜ㄢˇ,,,,
*0427,嚌,ㄐ｜ˋ,,,,
0428,嚇,1.ㄏㄜˋ\n2.ㄒ｜ㄚˋ,1.恐嚇、嚇嚇\n2.嚇唬、嚇了\n一跳,,,
0429,嚄,ㄏㄨㄛˋ,,,,
0430,嚜,1.ㄇㄛˋ\n2.‧ㄇㄜ\n(限讀),1.嚜嚜,2.限於當語\n助詞時，音\n‧ㄇㄜ。,,
*0431,嚮,ㄒ｜ㄤˋ,,,,
0432,嚷,ㄖㄤˇ,,,,
*0433,嚴,｜ㄢˊ,,,,
0434,嚼,1.ㄐ｜ㄠˊ\n2.ㄐㄩㄝˊ,1.嚼舌、細嚼\n慢嚥\n2.咀嚼,,,
0435,囁,ㄋ｜ㄝˋ,,,,
*0436,囂,ㄒ｜ㄠ,,,,
0437,囉,1.ㄌㄨㄛˊ\n2.ㄌㄨㄛ,1.嘍囉、囉\n、囉嗊曲\n2.囉囉嗦嗦,,,
*0438,囋,ㄗㄢˋ,,,,
0439,囝,ㄐ｜ㄢˇ,,,,「囝，閩人呼\n兒曰囝，九件\n切。」（集韻\n上聲獮韻）
0440,囤,1.ㄉㄨㄣˋ\n2.ㄊㄨㄣˊ,1.米囤\n2.囤糧,,,
0441,囮,｜ㄡˊ,,,,
0442,囪,1.ㄘㄨㄥ\n2.ㄔㄨㄤ,1.煙囪\n2.「窗」的本\n字,,,
0443,囿,｜ㄡˋ,,,,
0444,圂,ㄏㄨㄣˋ,,,,
0445,圈,1.ㄑㄩㄢ\n2.ㄐㄩㄢˋ,1.圓圈、圈\n套、墳圈\n子、圈選、\n商業圈、橡\n皮圈\n2.猪圈、羊圈,,,
*0446,圉,ㄩˇ,,,,
0447,圌,ㄔㄨㄟˊ,圌山,,通「團」時，\n音ㄊㄨㄢˊ。,
0448,圜,1.ㄩㄢˊ\n2.ㄏㄨㄢˊ,1.圜牆、「乾\n為天，為\n圜。」（易\n經‧說卦）、\n「圜流九十\n里。」（孔\n子家語‧致\n思）\n2.圜視,,,
*0449,土,ㄊㄨˇ,,,,
0450,圩,ㄩˊ,,,,
0451,地,1.ㄉ｜ˋ\n2.‧ㄉㄜ,1.大地\n2.慢慢地,,,
0452,圳,ㄗㄨㄣˋ,,,,
*0453,在,ㄗㄞˋ,,,,
0454,坊,1.ㄈㄤ\n2.ㄈㄤˊ,1.街坊、染\n坊、牌坊、\n茶坊\n2.堤坊、坊記\n（禮記篇\n名）,,,
0455,坏,ㄆㄟˊ,,,,
0456,均,ㄐㄩㄣ,平均、均衡,,通「韻」時，\n音ㄩㄣˋ。,
0457,圾,ㄙㄜˋ,,,,
*0458,圻,ㄑ｜ˊ,,,,
*0459,坷,ㄎㄜˇ,,,,
0460,坯,ㄆㄟ,,,,
0461,坱,｜ㄤˇ,,,,
*0462,坫,ㄉ｜ㄢˋ,,,,
0463,坻,1.ㄔˊ\n2.ㄉ｜ˇ,1.「宛在水中\n坻。」（詩\n經‧秦風‧\n蒹葭）\n2.寶坻、隴\n坻、坻伏,,,
0464,坳,ㄠ,,,,
0465,垛,1.ㄉㄨㄛˇ\n2.ㄉㄨㄛˋ,1.城垛\n2.草垛、箭垛\n子、垛指兒,,,
*0466,垝,ㄍㄨㄟˇ,,,,
0467,埔,ㄆㄨˇ,,,,
0468,埋,1.ㄇㄞˊ\n2.ㄇㄢˊ\n(限讀),2.限於「埋\n怨」一詞音\nㄇㄢˊ。,,,
0469,埏,1.｜ㄢˊ\n2.ㄕㄢ,1.埏隧、「上\n暢九垓，下\n泝八埏。」\n（史記‧司\n馬相如傳）\n2.埏埴,,,
0470,培,1.ㄆㄟˊ\n2.ㄆㄡˇ,1.培育、培\n養、栽培\n2.培塿,,,
0471,埽,1.ㄙㄠˇ\n2.ㄙㄠˋ,1.「洒埽穹\n窒。」（詩\n經‧豳風‧\n東山）\n2.「凡塞河\n決，垂合，\n中間一埽，\n謂之合龍\n門。」（宋‧\n沈括‧夢溪\n筆談）,,,
0472,埧,1.ㄐㄩˋ\n2.ㄅㄚˋ,1.「埧，堤\n塘。」（廣\n韻）\n2.「壩」的異\n體字,,,
0473,堋,1.ㄅㄥˋ\n2.ㄆㄥˊ,1.「毀之則朝\n而堋。」（左\n傳‧昭公十\n二年）\n2.「橫弓先望\n堋。」（北\n周‧庾信‧\n北園射堂新\n成詩）,,,
0474,堆,ㄉㄨㄟ,,,,
0475,埠,ㄅㄨˋ,,,,
0476,埤,1.ㄆ｜ˊ\n2.ㄅㄟ\n3.ㄅ｜ˋ,1.埤益、新\n埤、水埤\n2.虎頭埤、埤\n頭鄉\n3.「松柏不生\n埤。」（國\n語‧晉語）,,,
0477,埶,1.ㄕˋ\n2.｜ˋ,1.「勢」的本\n字\n2.「藝」的古\n字,,,
0478,堇,ㄐ｜ㄣˇ,,,,
0479,堵,1.ㄉㄨˇ\n2.ㄓㄜˇ,1.堵塞、堵\n嘴、一堵牆\n2.堵水（水\n名。在湖北\n省境）、堵\n陽（地名。\n故址在河南\n省境）,,,
*0480,報,ㄅㄠˋ,,,,
0481,堤,ㄊ｜ˊ,,,,
0482,場,ㄔㄤˇ,,,,
*0483,堨,ㄜˋ,,,,
0484,堡,ㄅㄠˇ,,,,
0485,塈,ㄐ｜ˋ,,,,
0486,塞,1.ㄙㄜˋ\n2.ㄙㄞˋ\n3.ㄙㄞ,1.阻塞、充\n塞、閉塞、\n推諉塞責\n2.邊塞、要塞\n3.塞車、活\n塞、瓶塞,,,
*0487,填,ㄊ｜ㄢˊ,,,,
*0488,塢,ㄨˋ,,,,
0489,墉,ㄩㄥ,,,,
*0490,墊,ㄉ｜ㄢˋ,,,,
0491,墐,ㄐ｜ㄣˇ,,,,
0492,墆,ㄉ｜ㄝˊ,,,,
*0493,增,ㄗㄥ,,,,
0494,墳,ㄈㄣˊ,,,,
0495,墮,ㄉㄨㄛˋ,墮落、墮胎、\n「 如 墮 五 里\n霧中。」,,通「隳」時，\n音ㄏㄨㄟ。,
0496,壅,ㄩㄥ,,,,
0497,壁,ㄅ｜ˋ,,,,
*0498,壇,ㄊㄢˊ,,,,
0499,壎,ㄒㄩㄣ,,,,
0500,壘,1.ㄌㄟˇ\n2.ㄌㄩˋ\n(限讀),1.堡壘、壘\n球、「把牆\n壘高些。」,2.限於「鬱\n壘」（門神\n名）一詞音\nㄌㄩˋ。,,
0501,壞,ㄏㄨㄞˋ,,,,
0502,夏,1.ㄒ｜ㄚˋ\n2.ㄐ｜ㄚˇ,1.夏季、夏\n代、夏屋、\n夏布、夏\n至、姓（如\n宋代有夏\n珪）\n2.夏楚,,,
0503,多,ㄉㄨㄛ,,,,
*0504,夜,｜ㄝˋ,,,,
*0505,夢,ㄇㄥˋ,,,,
0506,大,1.ㄉㄚˋ\n2.ㄉㄞˋ,1.大小、大夫\n（官名）\n2.大夫（醫\n生）,,通「太」時，\n音ㄊㄞˋ。,
0507,夫,1.ㄈㄨ\n2.ㄈㄨˊ,1.匹夫、夫人\n2.夫差（人。\n春秋時吳名\n王）、「夫\n人不言，言\n必有中。」\n（論語‧先\n進）,,,
0508,太,ㄊㄞˋ,,,,
0509,夭,｜ㄠ,,,,
*0510,央,｜ㄤ,,,,
*0511,失,ㄕ,,,,
0512,夾,ㄐ｜ㄚˊ,,,,
0513,奔,ㄅㄣ,,,,
0514,奉,ㄈㄥˋ,奉命、自奉儉\n樸 、 奉 公 守\n法、朝奉、奉\n養 、 奉 為 圭\n臬、奉天承運,,通「捧」時，\n音ㄆㄥˇ。,
0515,奇,1.ㄑ｜ˊ\n2.ㄐ｜,1.奇怪、奇門\n遁甲、傳\n奇、奇裝異\n服、奇經八\n脈、奇貨可\n居\n2.奇數、奇\n拜、奇利、\n奇贏,,,
0516,奄,1.｜ㄢˇ\n2.｜ㄢ,1.奄國、奄\n忽、「奄有\n四方。」（詩\n經‧大雅‧\n皇矣）\n2.奄人（宦\n官）、奄奄\n一息,,,
0517,契,1.ㄑ｜ˋ\n2.ㄒ｜ㄝˋ\n(限讀),1.契約、契\n丹、契合、\n契臂以盟,2.限於當虞\n舜臣名時，\n音ㄒ｜ㄝ\nˋ。,,
0518,奎,ㄎㄨㄟˊ,,,,
0519,奓,ㄓㄚ,「 神 農 隱 几\n闔戶晝暝，\n荷 甘 日 中 奓\n戶 而 入 。 」\n（莊子‧知北\n遊）,,通「侈」時，\n音ㄔˇ。,
0520,奘,ㄗㄤˋ,,,,
*0521,奠,ㄉ｜ㄢˋ,,,,
0522,奧,ㄠˋ,,,,
0523,奰,ㄅㄟˋ,,,,
0524,奲,ㄔㄜˇ,,,,
0525,女,1.ㄋㄩˇ\n2.ㄋㄩˋ,1.女兒、美女\n2.「以女女\n之。」,,通「汝」時，\n音ㄖㄨˇ。,文 言 動 詞 音\nㄋㄩˋ。
0526,妃,ㄈㄟ,貴妃、嬪妃、\n太子妃,,通「配」時，\n音ㄆㄟˋ。,
0527,好,1.ㄏㄠˇ\n2.ㄏㄠˋ,1.好朋友、好\n人好事\n2.投其所\n好、好學不\n倦,,,
0528,她,ㄊㄚ,她們,,通「伊」時，\n音｜。,
*0529,如,ㄖㄨˊ,,,,
0530,妁,ㄕㄨㄛˋ,,,,
0531,妨,ㄈㄤˊ,,,,
*0532,妞,ㄋ｜ㄡ,,,,
0533,妣,ㄅ｜ˇ,,,,
0534,妊,ㄖㄣˋ,,,,
*0535,妗,ㄐ｜ㄣˋ,,,,
0536,妻,1.ㄑ｜\n2.ㄑ｜ˋ,1.妻子、夫妻\n2.「以女妻\n之。」,,,文 言 動 詞 音\nㄑ｜ˋ。
0537,委,1.ㄨㄟˇ\n2.ㄨㄟ,1.原委、委\n託、委員、\n委曲求全\n2.委蛇,,,
0538,姏,ㄇㄢˊ,,,,
0539,姆,ㄇㄨˇ,,,,
0540,妲,ㄉㄚˊ,,,,
*0541,姐,ㄐ｜ㄝˇ,,,,
0542,妯,ㄓㄡˊ,,,,
0543,姎,｜ㄤ,,,,
0544,姍,ㄕㄢ,,,,
0545,始,ㄕˇ,,,,
0546,妳,1.ㄋㄞˇ\n2.ㄋ｜ˇ,1.「嬭」的異\n體字\n2.「妳怎麼來\n了？」,,,
0547,姊,ㄗˇ,兄弟姊妹,,「姊姊」一詞\n通「姐姐」，\n音 ㄐ ｜ ㄝ\nˇ‧ㄐ｜ㄝ。,
0548,姣,1.ㄐ｜ㄠˇ\n2.ㄒ｜ㄠˊ,1.姣好\n2.「棄味而\n姣，不可謂\n貞。」（左\n傳‧襄公九\n年）,,,
0549,姥,1.ㄇㄨˇ\n2.ㄌㄠˇ,1.公姥、天姥\n山\n2.姥姥,,,
0550,姼,ㄔˇ,,,,
0551,姝,ㄕㄨ,,,,
0552,姽,ㄍㄨㄟˇ,,,,
*0553,姺,ㄒ｜ㄢˇ,,,,
0554,姡,ㄏㄨㄛˊ,,,,
0555,姘,ㄆ｜ㄣ,,,,
*0556,姬,ㄐ｜,,,,
*0557,娑,ㄙㄨㄛ,,,,
0558,娘,ㄋ｜ㄤˊ,,,,
0559,娓,ㄨㄟˇ,,,,
0560,娜,1.ㄋㄨㄛˊ\n2.ㄋㄚˋ\n(限讀),1.婀娜、裊娜,2.限於當人\n名譯音時，\n音ㄋㄚˋ。\n如：「莉\n娜」、「安\n娜」。,,
0561,娠,ㄕㄣ,,,,
0562,娟,ㄐㄩㄢ,,,,
*0563,娉,ㄆ｜ㄥ,,,,
*0564,娭,ㄒ｜,,,,
0565,娩,1.ㄨㄢˇ\n2.ㄇ｜ㄢˇ,1.婉娩、娩澤\n2.分娩,,,
0566,娶,ㄑㄩˇ,,,,
0567,婁,1.ㄌㄡˊ\n2.ㄌㄩˇ,1.婁縣、離婁\n（孟子篇\n名）、姓（如\n漢代有婁\n敬）\n2.卷婁、「牛\n馬維婁。」\n（公羊傳‧\n昭公二十五\n年）,,,
*0568,婘,ㄑㄩㄢˊ,,,,
*0569,婗,ㄋ｜ˊ,,,,
0570,婢,ㄅ｜ˋ,,,,
0571,媒,ㄇㄟˊ,,,,
*0572,媞,ㄊ｜ˊ,,,,
0573,婼,ㄖㄨㄛˋ,,,,
0574,媛,ㄩㄢˊ,,,,
0575,媕,ㄢ,,,,
0576,媮,ㄊㄡ,媮生、媮居,,通「愉」時，\n音ㄩˊ。,
0577,媻,ㄆㄢˊ,媻姍,,通「婆娑」之\n「婆」時，音\nㄆㄛˊ。,
0578,嫇,ㄇ｜ㄥˊ,,,,
*0579,媽,ㄇㄚ,,,,
0580,嫖,1.ㄆ｜ㄠˊ\n2.ㄆ｜ㄠ,1.嫖妓、吃喝\n嫖賭\n2.嫖姚、嫖疾,,,
*0581,嫚,ㄇㄢˋ,,,,
0582,嬈,ㄖㄠˊ,,,,
*0583,嬉,ㄒ｜,,,,
0584,嫽,ㄌ｜ㄠˊ,,,,
0585,嬛,ㄒㄩㄢ,嬛佞、便嬛,,通「鬟」時，\n音ㄏㄨㄢˊ。,
*0586,嬐,｜ㄢˇ,,,,
*0587,嬭,ㄋㄞˇ,,,,
0588,嬥,ㄊ｜ㄠˋ,,,,
0589,孃,ㄋ｜ㄤˊ,,,,
*0590,孅,ㄒ｜ㄢ,,,,
0591,孌,ㄌㄨㄢˊ,,,,
*0592,孋,ㄌ｜ˊ,,,,
0593,子,ㄗˇ,,,,
0594,孓,ㄐㄩㄝˊ,,,,
0595,孛,ㄅㄛˊ,,,,
0596,孚,ㄈㄨˊ,,,,
0597,孟,ㄇㄥˋ,,,,
0598,孫,ㄙㄨㄣ,孫子、姓（如\n戰 國 時 齊 國\n有孫臏）,,通「遜」時，\n音ㄒㄩㄣˋ。,
0599,孱,ㄔㄢˊ,,,,
0600,孳,ㄗ,,,,
0601,學,ㄒㄩㄝˊ,,,,
0602,孺,ㄖㄨˊ,,,,
0603,孿,ㄌㄨㄢˊ,,,,ㄌ ㄩ ㄢ ˊ 音\n較難發音，依\n今 日 口 語 及\n大陸資料，併\n讀為\nㄌㄨㄢˊ。
